DatabaseID,Group,condition,phrase,label,token,time,F1,F2,F3
Sub30,HC,conv,bsent,ai,ai,9.689297,558,1139,2436
Sub30,HC,conv,bsent,ai,ai,9.69941,626,1189,2466
Sub30,HC,conv,bsent,ai,ai,9.709206,640,1224,2524
Sub30,HC,conv,bsent,ai,ai,9.719093,651,1254,2561
Sub30,HC,conv,bsent,ai,ai,9.729342,661,1281,2577
Sub30,HC,conv,bsent,ai,ai,9.739229,670,1293,2593
Sub30,HC,conv,bsent,ai,ai,9.749161,682,1300,2598
Sub30,HC,conv,bsent,ai,ai,9.758866,690,1305,2598
Sub30,HC,conv,bsent,ai,ai,9.768753,697,1302,2588
Sub30,HC,conv,bsent,ai,ai,9.778005,699,1308,2577
Sub30,HC,conv,bsent,ai,ai,9.787664,693,1321,2560
Sub30,HC,conv,bsent,ai,ai,9.796735,686,1333,2534
Sub30,HC,conv,bsent,ai,ai,9.806032,689,1354,2497
Sub30,HC,conv,bsent,ai,ai,9.815102,694,1387,2454
Sub30,HC,conv,bsent,ai,ai,9.823628,697,1435,2413
Sub30,HC,conv,bsent,ai,ai,9.83229,703,1486,2386
Sub30,HC,conv,bsent,ai,ai,9.840272,694,1517,2356
Sub30,HC,conv,bsent,ai,ai,9.848571,676,1539,2323
Sub30,HC,conv,bsent,ai,ai,9.856009,645,1569,2292
Sub30,HC,conv,bsent,ai,ai,9.863991,612,1565,2253
Sub30,HC,conv,bsent,ai,ai,9.870703,583,1561,2191
Sub30,HC,conv,bsent,ai,ai,9.878549,556,1541,2132
Sub30,HC,conv,bsent,ai,ai,9.884444,503,1433,2094
Sub30,HC,conv,bsent,a,a,9.994875,503,1211,2476
Sub30,HC,conv,bsent,a,a,10.003356,573,1226,2516
Sub30,HC,conv,bsent,a,a,10.01229,591,1233,2512
Sub30,HC,conv,bsent,a,a,10.02127,586,1269,2502
Sub30,HC,conv,bsent,a,a,10.030431,596,1254,2529
Sub30,HC,conv,bsent,a,a,10.039683,605,1256,2532
Sub30,HC,conv,bsent,a,a,10.049252,599,1269,2560
Sub30,HC,conv,bsent,a,a,10.058413,594,1258,2537
Sub30,HC,conv,bsent,a,a,10.067574,595,1249,2523
Sub30,HC,conv,bsent,a,a,10.076644,586,1223,2511
Sub30,HC,conv,bsent,a,a,10.08585,566,1191,2526
Sub30,HC,conv,bsent,a,a,10.094467,557,2291,3442
Sub30,HC,conv,bsent,i,i,10.173515,375,1448,2664
Sub30,HC,conv,bsent,i,i,10.181406,409,1549,2489
Sub30,HC,conv,bsent,i,i,10.189751,405,1681,2506
Sub30,HC,conv,bsent,i,i,10.198231,392,1753,2506
Sub30,HC,conv,bsent,i,i,10.206848,390,1835,2516
Sub30,HC,conv,bsent,i,i,10.215601,385,1894,2523
Sub30,HC,conv,bsent,i,i,10.224354,382,1956,2519
Sub30,HC,conv,bsent,i,i,10.232971,379,1983,2554
Sub30,HC,conv,bsent,i,i,10.241587,377,1961,2552
Sub30,HC,conv,bsent,i,i,10.250249,377,2006,2564
Sub30,HC,conv,bsent,i,i,10.258957,383,1982,2580
Sub30,HC,conv,bsent,i,i,10.267846,378,2007,2584
Sub30,HC,conv,bsent,i,i,10.276644,378,2014,2599
Sub30,HC,conv,bsent,i,i,10.285351,378,2038,2624
Sub30,HC,conv,bsent,i,i,10.294331,371,2055,2655
Sub30,HC,conv,bsent,i,i,10.303175,354,2081,2684
Sub30,HC,conv,bsent,i,i,10.311701,342,2101,2634
Sub30,HC,conv,bsent,i,i,10.32059,330,2125,2595
Sub30,HC,conv,bsent,i,i,10.329116,316,2098,2427
Sub30,HC,conv,bsent,i,i,10.338005,309,1901,2288
Sub30,HC,conv,bsent,v,v,10.465624,365,0,0
Sub30,HC,conv,bsent,v,v,10.47161,597,1232,2414
Sub30,HC,conv,bsent,v,v,10.478549,609,1241,2510
Sub30,HC,conv,bsent,v,v,10.490295,601,1193,3563
Sub30,HC,conv,bsent,v,v,10.506667,604,1132,2368
Sub30,HC,conv,bsent,i,i.1,10.62059,0,0,0
Sub30,HC,conv,bsent,i,i.1,10.620091,362,2102,2561
Sub30,HC,conv,bsent,i,i.1,10.638866,359,2240,2734
Sub30,HC,conv,bsent,i,i.1,10.658367,351,2295,2837
Sub30,HC,conv,bsent,i,i.1,10.66907,340,2305,2837
Sub30,HC,conv,bsent,i,i.1,10.683084,357,2341,2874
