DatabaseID,Group,condition,phrase,label,token,time,measureid,wavid,ref,ref_status,ref_x,ref_y,ref_z,ref_q0,ref_qx,ref_qy,ref_qz,tf,tf_status,tf_x,tf_y,tf_z,tf_q0,tf_qx,tf_qy,tf_qz,tb,tb_status,tb_x,tb_y,tb_z,tb_q0,tb_qx,tb_qy,tb_qz,ul,ul_status,ul_x,ul_y,ul_z,ul_q0,ul_qx,ul_qy,ul_qz,ll,ll_status,ll_x,ll_y,ll_z,ll_q0,ll_qx,ll_qy,ll_qz,jaw,jaw_status,jaw_x,jaw_y,jaw_z,jaw_q0,jaw_qx,jaw_qy,jaw_qz,decoupled_tf_x,decoupled_tf_y,decoupled_tb_x,decoupled_tb_y,decoupled_ll_x,decoupled_ll_y
Sub35,HC,conv,bsent,ai,ai,9.0294,878,199098,0,55,44.9072,44.0945,-145.3292,0.9903,0.0457,0.0175,0.1303,1,55,-14.5178,0.3023,1.1983,0.8043,0.2447,-0.5415,4e-04,2,55,-28.5414,2.7172,1.7812,0.5042,-0.472,-0.7225,0.0312,3,55,10.7023,9.6035,0.7069,0.8115,0.5778,-0.0847,-0.0206,4,55,11.9823,-18.9154,-0.7655,0.6557,0.1926,0.7292,-0.0206,5,55,2.607,-8.863,-2.0234,0.7981,0.5993,-0.0582,-0.0219,-19.0364871138887,3.8566381075684,-33.1624542577099,2.13903768206633,11.8689371543684,-6.933637333727
Sub35,HC,conv,bsent,ai,ai,9.0394,879,199318,0,55,44.7975,44.0362,-145.2078,0.9903,0.0448,0.0174,0.1307,1,55,-14.2404,0.1238,0.9532,0.8036,0.2563,-0.5371,-1e-04,2,55,-28.1482,2.6299,2.0089,0.5101,-0.4523,-0.7309,0.0306,3,55,13.5639,12.4617,1.2858,0.8032,0.5834,-0.1168,-0.0203,4,55,11.9965,-19.9761,-1.0169,0.6522,0.1674,0.7391,-0.0198,5,55,2.8,-9.4332,-1.9259,0.7973,0.6006,-0.0559,-0.022,-19.0092412785394,4.51223084230772,-33.0707218094342,3.10432341308268,11.7372887526556,-7.6134358470263
Sub35,HC,conv,bsent,ai,ai,9.0494,880,199540,0,55,44.7128,44.1024,-145.1657,0.9902,0.0446,0.0173,0.1311,1,55,-13.9008,-0.1109,1.3931,0.8029,0.2633,-0.5348,-4e-04,2,55,-27.6866,2.6523,2.0437,0.5154,-0.4347,-0.7378,0.03,3,55,12.8755,12.6738,1.3934,0.8055,0.5802,-0.1186,-0.0201,4,55,11.5196,-20.7415,-1.0623,0.6519,0.1779,0.7368,-0.0202,5,55,2.8353,-9.8488,-1.9481,0.797,0.6011,-0.0541,-0.0221,-18.7196188015149,4.94970822836763,-32.744539001613,3.95715129756778,11.2625695788728,-8.19893323921155
Sub35,HC,conv,bsent,ai,ai,9.0594,881,199759,0,55,44.6609,44.1937,-145.1746,0.9902,0.045,0.0174,0.1311,1,55,-13.7543,-0.1907,1.3126,0.803,0.2685,-0.5321,-7e-04,2,55,-27.4847,2.5558,2.0134,0.5187,-0.419,-0.7446,0.0295,3,55,12.2738,12.4538,1.2247,0.8074,0.5786,-0.1139,-0.0201,4,55,11.6951,-21.2396,-1.0079,0.6517,0.1856,0.7351,-0.0204,5,55,2.8077,-10.0989,-2.0217,0.7972,0.601,-0.0525,-0.0221,-18.5672941523752,5.26572493576841,-32.5397938904676,4.35117724482566,11.4763293193605,-8.44955268659743
Sub35,HC,conv,bsent,ai,ai,9.0694,882,199981,0,55,44.6235,44.2662,-145.1715,0.9902,0.0453,0.0174,0.131,1,55,-13.566,-0.3475,1.2775,0.8035,0.2733,-0.5288,-9e-04,2,55,-27.4025,2.3774,1.9865,0.5221,-0.4049,-0.7501,0.0291,3,55,13.0016,12.8647,1.1856,0.8048,0.5812,-0.1191,-0.0202,4,55,11.8187,-21.5413,-0.9743,0.651,0.1865,0.7355,-0.0205,5,55,2.8423,-10.2977,-2.0356,0.7973,0.601,-0.0514,-0.0221,-18.4048422633976,5.43144273554041,-32.4784943565748,4.53359585538252,11.5494242698415,-8.57934128911984
Sub35,HC,conv,bsent,ai,ai,9.0794,883,200200,0,55,44.6164,44.4249,-145.2753,0.9902,0.0456,0.0174,0.131,1,55,-13.4081,-0.5625,1.2816,0.804,0.2789,-0.5251,-0.0012,2,55,-27.2612,2.4879,1.8752,0.5244,-0.3952,-0.7537,0.0288,3,55,12.9232,13.0303,1.2218,0.8063,0.5787,-0.1206,-0.02,4,55,11.7083,-21.6397,-1.1554,0.6499,0.187,0.7364,-0.0205,5,55,2.7878,-10.5176,-2.1225,0.7975,0.6008,-0.0506,-0.0221,-18.1733870460936,5.58025054033228,-32.3489176631921,5.06290008493326,11.4223458082125,-8.53266927154741
Sub35,HC,conv,bsent,ai,ai,9.0894,884,200422,0,55,44.5999,44.5419,-145.3242,0.9902,0.0457,0.0174,0.131,1,55,-13.2678,-0.6803,0.9966,0.8046,0.2846,-0.5212,-0.0015,2,55,-27.1036,2.6599,1.8537,0.5263,-0.3867,-0.7568,0.0285,3,55,12.6351,13.2046,1.2508,0.8091,0.5753,-0.1186,-0.0199,4,55,11.7486,-21.4938,-1.2482,0.6484,0.1869,0.7377,-0.0205,5,55,2.85,-10.5615,-2.11,0.7974,0.6009,-0.0505,-0.0222,-18.0730209983814,5.548648688831,-32.304656954213,5.33223311480465,11.3441709322473,-8.36720091248895
Sub35,HC,conv,bsent,ai,ai,9.0994,885,200641,0,55,44.5879,44.618,-145.3266,0.9902,0.0457,0.0174,0.1309,1,55,-13.2488,-0.5521,1.2143,0.8051,0.2887,-0.5181,-0.0017,2,55,-26.9633,2.7953,1.8566,0.5281,-0.3771,-0.7603,0.0282,3,55,12.5763,13.3209,1.2744,0.81,0.5743,-0.1169,-0.0199,4,55,11.8159,-21.2458,-1.2357,0.6469,0.1861,0.7392,-0.0205,5,55,2.8537,-10.5016,-2.1163,0.7976,0.6007,-0.0507,-0.0221,-18.0829051410972,5.59388935876279,-32.1986127157155,5.39540339486874,11.3700011379628,-8.15364560198231
Sub35,HC,conv,bsent,ai,ai,9.1094,886,200863,0,55,44.5919,44.686,-145.3391,0.9902,0.0456,0.0173,0.1308,1,55,-13.1701,-0.4452,1.2828,0.8056,0.291,-0.5161,-0.0018,2,55,-26.8662,2.9163,1.8638,0.5306,-0.366,-0.764,0.0279,3,55,12.5958,13.4925,1.3953,0.8093,0.5753,-0.1166,-0.02,4,55,11.9044,-20.9932,-1.1489,0.6456,0.1855,0.7406,-0.0205,5,55,2.8657,-10.4197,-2.1206,0.7976,0.6006,-0.0514,-0.0221,-18.035031438424,5.60135455984157,-32.136103718058,5.39496167106143,11.4160239593324,-7.94804358945954
Sub35,HC,conv,bsent,ai,ai,9.1194,887,201083,0,55,44.8155,44.7849,-145.5259,0.9904,0.0455,0.0174,0.1297,1,55,-13.1628,-0.5733,1.1062,0.8059,0.2936,-0.5141,-0.002,2,55,-26.9019,2.9327,1.7395,0.5335,-0.3534,-0.7679,0.0274,3,55,12.7431,13.3325,1.3092,0.8073,0.5782,-0.116,-0.0201,4,55,11.8251,-20.8249,-1.1376,0.6447,0.1842,0.7416,-0.0205,5,55,2.714,-10.4957,-2.2336,0.7976,0.6007,-0.051,-0.0221,-17.8598966242784,5.61701812086166,-32.0391656945898,5.56015476085166,11.4132048595013,-7.70994621803913
Sub35,HC,conv,bsent,ai,ai,9.1294,888,201303,0,55,45.0631,44.8677,-145.5556,0.9905,0.045,0.0172,0.1288,1,55,-13.1746,-0.6072,1.1782,0.8059,0.2976,-0.5118,-0.0022,2,55,-26.8867,3.0988,1.7552,0.5367,-0.3431,-0.7704,0.0271,3,55,12.5987,13.1649,1.3417,0.8065,0.5796,-0.1152,-0.0202,4,55,11.8454,-20.7005,-0.9751,0.6433,0.1831,0.7431,-0.0205,5,55,2.5399,-10.5871,-2.2863,0.7975,0.6008,-0.0507,-0.0221,-17.7071501419438,5.74462776084388,-31.9102386603023,5.91314764000934,11.534035798567,-7.47256368372836
Sub35,HC,conv,bsent,ai,ai,9.1394,889,201524,0,55,45.2449,44.8746,-145.5794,0.9906,0.0445,0.0169,0.1279,1,55,-13.2017,-0.4964,1.1667,0.8055,0.3026,-0.5095,-0.0024,2,55,-26.8484,3.3693,1.8312,0.5399,-0.3345,-0.7719,0.0268,3,55,12.6041,13.0696,1.3749,0.806,0.5806,-0.1136,-0.0202,4,55,11.7799,-20.4912,-0.9616,0.642,0.1822,0.7445,-0.0205,5,55,2.5132,-10.5745,-2.247,0.7972,0.6012,-0.0509,-0.0222,-17.7340204117323,5.83358394610564,-31.9137264414643,6.16823942623669,11.4498805150519,-7.28786004057666
Sub35,HC,conv,bsent,ai,ai,9.1494,890,201744,0,55,45.4431,44.8828,-145.5965,0.9907,0.0448,0.0168,0.1274,1,55,-13.1295,-0.3934,1.1576,0.8053,0.3073,-0.507,-0.0026,2,55,-26.7765,3.6177,1.8604,0.5428,-0.3266,-0.7733,0.0265,3,55,12.5657,12.9392,1.4556,0.8066,0.5801,-0.1118,-0.0202,4,55,11.7304,-20.277,-0.902,0.6409,0.1825,0.7454,-0.0205,5,55,2.4676,-10.5081,-2.2443,0.7976,0.6006,-0.0516,-0.0221,-17.6385775404632,5.87003124770802,-31.8556380422138,6.32249439489344,11.4206881764405,-7.12732436658463
Sub35,HC,conv,bsent,ai,ai,9.1594,891,201964,0,55,45.5767,44.8631,-145.5954,0.9907,0.045,0.0169,0.1272,1,55,-13.0306,-0.226,1.2277,0.8052,0.3121,-0.5041,-0.0029,2,55,-26.6675,3.9693,1.9894,0.5457,-0.3173,-0.7751,0.0262,3,55,12.6901,12.9999,1.5565,0.8062,0.5807,-0.1118,-0.0203,4,55,11.8802,-19.9498,-0.7118,0.6405,0.183,0.7455,-0.0205,5,55,2.4745,-10.346,-2.1469,0.7979,0.6,-0.0525,-0.0221,-17.5725997013773,5.83320372909741,-31.8284281481803,6.41366819426501,11.5431146565918,-6.88888023954374
Sub35,HC,conv,bsent,ai,ai,9.1694,892,202186,0,55,45.7264,44.7608,-145.6349,0.9908,0.0444,0.0169,0.1265,1,55,-13.0393,0.0637,1.3684,0.8048,0.3186,-0.5008,-0.0032,2,55,-26.5196,4.4128,2.0967,0.5498,-0.3043,-0.7774,0.0257,3,55,12.7253,13.0703,1.6067,0.8051,0.5821,-0.1122,-0.0203,4,55,11.9826,-19.7494,-0.5885,0.6401,0.1824,0.746,-0.0205,5,55,2.5054,-10.1999,-2.0944,0.7978,0.6002,-0.0531,-0.0221,-17.6670303802651,5.90383100984366,-31.8130936065729,6.62636412140408,11.6207956140575,-6.77992473308528
Sub35,HC,conv,bsent,ai,ai,9.1794,893,202406,0,55,45.8442,44.6843,-145.6928,0.9909,0.0445,0.0168,0.1261,1,55,-12.9662,0.3989,1.4064,0.804,0.3259,-0.4973,-0.0035,2,55,-26.4082,4.9692,2.1819,0.5549,-0.2894,-0.7795,0.0252,3,55,12.8045,13.0901,1.6519,0.8045,0.583,-0.1123,-0.0203,4,55,12.0668,-19.5477,-0.4695,0.6399,0.183,0.746,-0.0205,5,55,2.4928,-10.0374,-2.1215,0.7981,0.5996,-0.054,-0.022,-17.6515466693142,6.02660259773483,-31.8211490810158,6.91956037070051,11.7293223712123,-6.67310113831481
Sub35,HC,conv,bsent,ai,ai,9.1894,894,202627,0,55,45.9355,44.6826,-145.7961,0.9909,0.0447,0.0169,0.1258,1,55,-12.9389,0.7096,1.4703,0.803,0.334,-0.4935,-0.0039,2,55,-26.3424,5.6246,2.2198,0.5606,-0.2753,-0.7806,0.0247,3,55,12.8995,13.0202,1.698,0.8043,0.5833,-0.1113,-0.0204,4,55,11.9312,-19.2638,-0.5615,0.6403,0.1848,0.7452,-0.0206,5,55,2.4223,-9.8633,-2.1657,0.7986,0.599,-0.055,-0.022,-17.6182991853083,6.11131848842496,-31.8459411411929,7.2882813702325,11.6648508040313,-6.53604124678622
