DatabaseID,Group,condition,phrase,label,token,time,measureid,wavid,ref,ref_status,ref_x,ref_y,ref_z,ref_q0,ref_qx,ref_qy,ref_qz,tf,tf_status,tf_x,tf_y,tf_z,tf_q0,tf_qx,tf_qy,tf_qz,tb,tb_status,tb_x,tb_y,tb_z,tb_q0,tb_qx,tb_qy,tb_qz,ul,ul_status,ul_x,ul_y,ul_z,ul_q0,ul_qx,ul_qy,ul_qz,ll,ll_status,ll_x,ll_y,ll_z,ll_q0,ll_qx,ll_qy,ll_qz,jaw,jaw_status,jaw_x,jaw_y,jaw_z,jaw_q0,jaw_qx,jaw_qy,jaw_qz,decoupled_tf_x,decoupled_tf_y,decoupled_tb_x,decoupled_tb_y,decoupled_ll_x,decoupled_ll_y
Sub55_2,HC,conv,bsent,ai,ai,9.779,976,215626,0,55,44.6722,49.5318,-168.2166,0.9893,0.14,0.0259,0.0323,1,55,-23.7587,3.8812,5.4063,0.651,-0.091,-0.7531,0.0264,2,55,-37.097,5.0865,3.9942,0.7581,-0.2317,-0.6084,0.0382,3,55,1.4988,26.5866,8.4191,0.8258,0.4063,-0.3909,0.0145,4,55,8.303,-4.7791,10.7095,0.5471,0.6864,0.479,-0.0035,5,55,-2.2228,0.7142,6.6436,0.8679,0.4949,-0.0399,0.0149,-21.7534167068481,-0.783415208062661,-35.0895624689771,-2.01232171030314,11.3462510786427,-3.49734141747691
Sub55_2,HC,conv,bsent,ai,ai,9.789,977,215848,0,55,44.7637,49.4113,-168.2128,0.9892,0.1406,0.0259,0.0317,1,55,-23.7372,3.3616,5.2379,0.6535,-0.0807,-0.7521,0.0261,2,55,-37.7,4.688,4.557,0.7581,-0.2226,-0.6118,0.0378,3,55,1.148,26.5597,8.0498,0.8261,0.3952,-0.4014,0.015,4,55,7.337,-5.6897,10.295,0.5451,0.6665,0.5086,-0.0025,5,55,-2.4861,0.1935,6.8894,0.8679,0.4953,-0.0357,0.0149,-21.460799485609,-1.03932394299521,-35.4140318420387,-2.4628504118343,10.7822268328997,-3.85342968975674
Sub55_2,HC,conv,bsent,ai,ai,9.799,978,216068,0,55,44.8375,49.3124,-168.2196,0.9892,0.1405,0.0258,0.0314,1,55,-23.9965,3.1092,5.2655,0.6536,-0.0688,-0.7533,0.0256,2,55,-37.7094,4.9227,4.1892,0.7613,-0.2068,-0.6133,0.0372,3,55,0.6749,27.6216,8.9681,0.8229,0.3773,-0.4244,0.0154,4,55,6.8746,-7.7009,10.0245,0.5372,0.6379,0.5516,-0.0013,5,55,-2.7291,-0.4197,6.9475,0.8678,0.4957,-0.0318,0.015,-21.5327726582772,-1.04648918625627,-35.3191453253151,-2.17269402799235,10.9258291650026,-5.08656899954958
Sub55_2,HC,conv,bsent,ai,ai,9.809,979,216288,0,55,44.9117,49.2038,-168.2498,0.9893,0.1402,0.0258,0.0312,1,55,-24.2657,2.6856,4.9238,0.6543,-0.0617,-0.7533,0.0253,2,55,-37.5829,5.1143,4.0007,0.764,-0.1959,-0.6136,0.0369,3,55,0.2756,27.9612,8.8469,0.8216,0.3615,-0.4404,0.016,4,55,6.0222,-9.4457,9.7861,0.5337,0.6107,0.5848,0,5,55,-2.9594,-1.2281,7.0232,0.8679,0.4957,-0.028,0.015,-21.6325633589294,-1.14353395310532,-35.1496232243084,-1.87530722793933,10.6450455222488,-5.90602185478955
Sub55_2,HC,conv,bsent,ai,ai,9.819,980,216509,0,55,44.9838,49.0727,-168.2843,0.9893,0.14,0.0258,0.031,1,55,-24.1818,2.4636,5.1549,0.6549,-0.0584,-0.753,0.0252,2,55,-37.3839,5.006,4.2396,0.7654,-0.1909,-0.6135,0.0367,3,55,0.6039,28.0845,8.8208,0.8199,0.3559,-0.448,0.0161,4,55,5.7996,-10.1833,9.9181,0.5321,0.5937,0.6036,8e-04,5,55,-3.0651,-1.7328,6.8832,0.8679,0.4959,-0.0247,0.015,-21.501036829869,-1.10914701037196,-34.9235198282833,-1.88128192557739,10.6660410969751,-6.0190882746176
Sub55_2,HC,conv,bsent,ai,ai,9.829,981,216729,0,55,45.0429,49.0076,-168.3276,0.9894,0.1397,0.0259,0.0307,1,55,-23.9118,1.9748,5.4124,0.6567,-0.057,-0.7516,0.0252,2,55,-37.5181,4.649,4.7006,0.7667,-0.1857,-0.6134,0.0365,3,55,0.4199,28.5261,8.7876,0.8187,0.3535,-0.4522,0.0161,4,55,5.5403,-11.005,9.9115,0.5303,0.5796,0.6187,0.0015,5,55,-3.131,-1.964,6.9374,0.8676,0.4965,-0.0226,0.015,-21.1039892871706,-1.40621130950782,-34.9458209753049,-2.23472856784378,10.6639126833443,-6.57359041711666
Sub55_2,HC,conv,bsent,ai,ai,9.839,982,216950,0,55,44.998,49.1662,-168.3996,0.9896,0.1383,0.0258,0.0311,1,55,-24.0557,1.7017,5.3691,0.6587,-0.0526,-0.7501,0.0251,2,55,-37.6734,4.6502,4.8759,0.7683,-0.1813,-0.6128,0.0364,3,55,0.0366,28.4213,8.3659,0.8185,0.3522,-0.4536,0.0162,4,55,5.2409,-11.5835,9.9152,0.528,0.5658,0.6333,0.0021,5,55,-3.3358,-2.2272,6.8853,0.8671,0.4976,-0.0206,0.0149,-21.0313045737103,-1.56036506876862,-34.9483550645784,-2.23201317203926,10.7036731245615,-6.82140119202351
Sub55_2,HC,conv,bsent,ai,ai,9.849,983,217170,0,55,45.1756,48.9476,-168.4231,0.9894,0.1396,0.0259,0.0302,1,55,-24.1463,1.5112,5.096,0.6596,-0.0447,-0.7499,0.0248,2,55,-37.4761,4.5849,4.8852,0.7694,-0.1764,-0.6128,0.0363,3,55,0.1576,28.638,8.7631,0.818,0.3503,-0.4559,0.0162,4,55,4.9879,-12.2471,9.7801,0.528,0.5537,0.644,0.0027,5,55,-3.4316,-2.7272,6.8915,0.868,0.4961,-0.0177,0.015,-21.0880125276761,-1.53575983883351,-34.7519173158077,-2.19066874156353,10.6849407347858,-6.88102592308116
Sub55_2,HC,conv,bsent,ai,ai,9.859,984,217391,0,55,45.2432,48.8359,-168.4914,0.9894,0.1397,0.0263,0.0299,1,55,-24.249,1.1974,4.9985,0.6605,-0.0404,-0.7493,0.0246,2,55,-37.1628,4.4627,4.748,0.7702,-0.1721,-0.6131,0.0361,3,55,0.1601,28.9159,8.7618,0.817,0.3468,-0.4604,0.0163,4,55,4.9567,-12.6858,9.561,0.527,0.5441,0.6528,0.0032,5,55,-3.3217,-3.2227,7.0457,0.8679,0.4962,-0.0157,0.015,-21.3233561473071,-1.67441091584457,-34.6335287190085,-2.191828195733,10.615316085147,-6.73774684760557
Sub55_2,HC,conv,bsent,ai,ai,9.869,985,217611,0,55,45.3335,48.8186,-168.5114,0.9894,0.1399,0.0263,0.0298,1,55,-24.004,0.7783,5.2044,0.6617,-0.0393,-0.7483,0.0246,2,55,-37.0482,4.2828,4.342,0.7706,-0.1682,-0.6137,0.0359,3,55,0.1043,28.9788,8.6895,0.8163,0.3449,-0.463,0.0163,4,55,4.9425,-13.2792,9.8398,0.5254,0.5359,0.6609,0.0035,5,55,-3.4644,-3.5123,7.0807,0.8682,0.4957,-0.0142,0.0151,-20.9007253939558,-1.85582718119189,-34.4005627496576,-2.2883375967871,10.8798664393891,-6.90628767725866
